date,code,open,high,low,close,volume,foreign_net,prop_net,dealer_net,total_net
20260326,3714,50.0,53.099998474121094,49.95000076293945,50.099998474121094,30439345.0,1634152.0,-174.0,849144.0,2483122.0
20260326,3715,187.0,197.0,185.0,185.0,63752093.0,9042961.0,1208815.0,-607292.0,9644484.0
20260326,3717,23.05,23.2,21.6,21.6,3690213.0,-54000.0,0.0,-93000.0,-147000.0
20260326,4551,134.5,135.5,131.5,131.5,657150.0,-102000.0,55000.0,-14518.0,-61518.0
20260326,4904,93.8,93.8,92.1,92.3,6729096.0,799187.0,-24909.0,181077.0,955355.0
20260326,4906,36.599998474121094,36.599998474121094,36.599998474121094,36.599998474121094,16016162.0,-1759180.0,-243.0,172697.0,-1586726.0
20260326,4915,72.5,72.8,71.9,71.9,1902000.0,-299902.0,-7035.0,3144.0,-303793.0
20260326,4916,60.9,62.2,57.8,57.8,4612464.0,-604029.0,-1000.0,-16001.0,-621030.0
20260326,4919,103.0,103.0,93.1999969482422,93.1999969482422,17279322.0,1987280.0,861.0,-110148.0,1877993.0
20260326,4927,43.0,44.85,42.5,42.5,6729863.0,394000.0,0.0,2500.0,396500.0
20260326,4934,18.35,18.65,17.85,17.85,1597595.0,-163000.0,0.0,1000.0,-162000.0
20260326,4938,79.5,83.5,79.5,80.7,24807940.0,9766123.0,-148871.0,694911.0,10312163.0
20260326,4949,67.0,70.3,63.8,64.0,5935739.0,-471000.0,0.0,-7367.0,-478367.0
20260326,4952,42.25,43.05,41.5,41.5,257115.0,-62000.0,0.0,999.0,-61001.0
20260326,4956,37.4,38.0,34.75,35.1,16806251.0,-542000.0,0.0,0.0,-542000.0
20260326,4958,210.5,225.0,207.0,218.5,42197602.0,9933667.0,132679.0,836321.0,10902667.0
20260326,4960,26.1,27.2,25.0,25.0,7461477.0,-18000.0,0.0,77726.0,59726.0
20260326,4961,142.5,143.0,140.5,143.0,642356.0,192104.0,-44.0,-1097.0,190963.0
20260326,4967,248.5,251.0,229.5,229.5,17959187.0,-1232995.0,-2000.0,-73018.0,-1308013.0
20260326,4968,110.0,113.0,105.5,106.0,1202104.0,-200077.0,-49.0,-11600.0,-211726.0
20260326,4977,202.5,214.0,196.0,196.0,28306877.0,491190.0,0.0,-74224.0,416966.0
20260326,4989,67.19999694824219,70.5,65.9000015258789,65.9000015258789,19214769.0,-96125.0,0.0,3865.0,-92260.0
20260326,5222,132.99,135.44,129.56,130.05,552143.0,-46990.0,0.0,-301.0,-47291.0
20260326,5234,372.0,379.0,358.0,358.0,598481.0,-181600.0,-76.0,-8587.0,-190263.0
20260326,5243,74.4,75.6,71.6,74.0,4204028.0,-1203000.0,0.0,18219.0,-1184781.0
20260326,5244,45.1,45.55,39.0,39.0,6392500.0,286000.0,0.0,2855.0,288855.0
20260326,5258,46.75,48.4,46.6,48.15,633166.0,76999.0,0.0,12000.0,88999.0
20260326,5269,1190.0,1220.0,1180.0,1180.0,540442.0,63471.0,-1016.0,7537.0,69992.0
20260326,5388,74.93,76.0,72.8,72.9,2565534.0,-1335000.0,-35.0,299190.0,-1035845.0
20260326,5434,328.5,328.5,318.5,319.0,302279.0,-89500.0,-1074.0,-10164.0,-100738.0
20260326,5469,83.0,85.2,82.4,82.6,1760486.0,400324.0,-199.0,17352.0,417477.0
20260326,5471,41.0,41.0,39.6,40.4,506221.0,-31000.0,-104.0,652.0,-30452.0
20260326,5484,41.9,41.9,39.8,40.1,226205.0,8000.0,-1000.0,0.0,7000.0
20260326,5876,39.65,39.75,39.4,39.65,5102445.0,1240383.0,-18000.0,38000.0,1260383.0
20260326,5880,23.45,23.65,23.35,23.5,13078921.0,6006027.0,0.0,101568.0,6107595.0
20260326,6005,28.3,28.45,27.95,28.15,3465270.0,2476.0,-34739.0,0.0,-32263.0
20260326,6024,55.2,55.2,54.4,54.7,180000.0,-70404.0,0.0,0.0,-70404.0
20260326,6108,16.6,16.6,16.35,16.35,188012.0,47000.0,0.0,2000.0,49000.0
20260326,6112,45.2,45.3,44.3,44.45,359358.0,-61000.0,0.0,-144.0,-61144.0
20260326,6116,8.479999542236328,8.529999732971191,8.300000190734863,8.3100004196167,11113119.0,-2002000.0,0.0,-31001.0,-2033001.0
20260326,6120,13.4,13.6,12.9,12.9,2009999.0,-833000.0,0.0,-2513.0,-835513.0
20260326,6133,23.7,24.25,22.9,23.0,1548000.0,-347000.0,0.0,0.0,-347000.0
20260326,6139,659.0,669.0,589.0,589.0,10551293.0,-3353024.0,-384036.0,-432428.0,-4169488.0
20260326,6141,21.75,22.4,21.25,21.4,1434905.0,-16000.0,0.0,0.0,-16000.0
20260326,6142,10.15,10.35,10.0,10.0,617030.0,209000.0,0.0,0.0,209000.0
20260326,6152,19.1,19.4,18.5,18.5,5483866.0,-133000.0,0.0,0.0,-133000.0
20260326,6153,16.75,17.0,16.35,16.35,2297892.0,-5000.0,0.0,28750.0,23750.0
20260326,6155,44.95,45.75,42.9,42.9,603021.0,-79900.0,0.0,-778.0,-80678.0
20260326,6164,12.75,13.0,12.5,12.55,505720.0,-133000.0,0.0,0.0,-133000.0
20260326,6166,61.0,61.0,59.8,59.8,286217.0,-31000.0,-185.0,2002.0,-29183.0
20260326,6168,26.85,27.5,25.2,25.5,22146001.0,170050.0,0.0,1000.0,171050.0
20260326,6176,92.3,94.5,91.4,91.4,3663640.0,564600.0,-36618.0,11487.0,539469.0
20260326,6189,47.85,47.85,47.0,47.0,431114.0,-32803.0,-1042.0,2000.0,-31845.0
20260326,6191,94.8,96.6,92.4,92.4,2992672.0,-21643.0,-297.0,-17524.0,-39464.0
20260326,6196,305.0,307.5,288.0,290.0,2733977.0,42289.0,-1409.0,-59105.0,-18225.0
20260326,6197,176.5,178.0,168.5,169.5,3213945.0,-250000.0,0.0,-67466.0,-317466.0
20260326,6202,51.8,52.4,50.0,50.4,1449357.0,103000.0,-115.0,485.0,103370.0
